ID,Occupant,Address,City,State,ZipCode,FIPS,Phone,Publisher,Year
200527421,,611|FENN|ST,PITTSFIELD,MA,01201,25003,4134420444,InfoGroup,2005
200527449,CENTER FOR ECOLOGICAL TECH,112|ELM|ST,PITTSFIELD,MA,01201,25003,4134454556,InfoGroup,2005
200527492,PARISEAU HEATING COOLING,78|JEFFERSON|PL,PITTSFIELD,MA,01201,25003,4134428516,InfoGroup,2005
200527385,FAMILY PRACTICE ASSOC,20|ELM|ST,PITTSFIELD,MA,01201,25003,4134421019,InfoGroup,2005
200527530,,232|1|ST,PITTSFIELD,MA,01201,25003,4134994138,InfoGroup,2005
200527544,SUPRITE MACHINE,64|POTTER|MOUNTAIN RD,PITTSFIELD,MA,01201,25003,4134433011,InfoGroup,2005
200527581,BERKSHIRE MEDICAL LIBRARY,725|NORTH|ST,PITTSFIELD,MA,01201,25003,4134472734,InfoGroup,2005
200527696,CANCER INSTITUTE-THE BRKSHRS,725|NORTH|ST,PITTSFIELD,MA,01201,25003,4134472242,InfoGroup,2005
200527603,MULLEN'S MINIS SELF STORAGE,10|DOWNING|TWO PARK,PITTSFIELD,MA,01201,25003,4134993149,InfoGroup,2005
200527653,YARMOSKY PEDIATRIC DENTISTRY,200|ELM|ST,PITTSFIELD,MA,01201,25003,4134994850,InfoGroup,2005
200527744,MA BERKSHIRE DISTRICT COURT,24|WENDELL|AVE,PITTSFIELD,MA,01201,25003,4134421441,InfoGroup,2005
200527822,COUNTYWIDE SNOWPLOWS,20|KEELER|ST,PITTSFIELD,MA,01201,25003,4134995559,InfoGroup,2005
200527710,PITTSFIELD DATA PROCESSING,70|ALLEN|ST,PITTSFIELD,MA,01201,25003,4134999356,InfoGroup,2005
200527847,KING CONE,133|FENN|ST,PITTSFIELD,MA,01201,25003,4134969485,InfoGroup,2005
200527901,OAK HILL WOOD FLOOR CO,31|WORTHEN|ST,PITTSFIELD,MA,01201,25003,4134996339,InfoGroup,2005
200527794,SUPER STOP & SHOP,1|DAN|FOX DR,PITTSFIELD,MA,01201,25003,4134427600,InfoGroup,2005
